District,Year,Season,Cultivated_Extent,Avg_Yield,Production,Season_Encoded,Production_per_Hectare,Prev_Production
Vavuniya,2024,Maha,22576,3627,77250,1,3.42,83359
Mullaitivu,2024,Maha,21617,2927,59691,1,2.76,65506
Kilinochchi,2024,Maha,27806,2514,62033,1,2.23,49494
Batticaloa,2024,Maha,70292,2526,156727,1,2.23,142522
Ampara,2024,Maha,74943,3935,281814,1,3.76,267017
Trincomalee,2024,Maha,48319,3905,175283,1,3.63,153558
Kurunegala,2024,Maha,81343,3982,323867,1,3.98,268234
Puttalam,2024,Maha,19823,3972,66930,1,3.38,63699
Anuradhapura,2024,Maha,127203,4263,435988,1,3.43,467075
Polonnaruwa,2024,Maha,69634,4794,295310,1,4.24,290191
Badulla,2024,Maha,25297,3973,85428,1,3.38,99528
Monaragala,2024,Maha,35838,4139,145378,1,4.06,148069
Ratnapura,2024,Maha,12004,4419,45085,1,3.76,47224
Kegalle,2024,Maha,6137,3742,21509,1,3.5,20779
Colombo,2024,Yala,1538,1975,2582,0,1.68,4464
Gampaha,2024,Yala,5732,2831,13793,0,2.41,18401
Kalutara,2024,Yala,5939,2694,14759,0,2.48,20913
Kandy,2024,Yala,8840,2859,19995,0,2.26,29335
Matale,2024,Yala,10669,4500,43178,0,4.05,41359
NuwaraEliya,2024,Yala,2131,3905,4690,0,2.2,5653
Galle,2024,Yala,3761,2602,7658,0,2.04,8527
Matara,2024,Yala,10649,2936,24687,0,2.32,22989
Hambantota,2024,Yala,35246,5381,165702,0,4.7,146310
Mannar,2024,Yala,2978,2184,6210,0,2.08,10918
Vavuniya,2024,Yala,5516,4175,21731,0,3.94,21243
Mullaitivu,2024,Yala,8206,4198,32502,0,3.96,23973
Kilinochchi,2024,Yala,9209,4339,35463,0,3.85,24355
Batticaloa,2024,Yala,33652,3589,106587,0,3.17,105366
Ampara,2024,Yala,63161,5532,333935,0,5.29,261938
Trincomalee,2024,Yala,28773,5053,135054,0,4.69,126977
Kurunegala,2024,Yala,56697,3708,210243,0,3.71,206292
Puttalam,2024,Yala,15190,3609,46600,0,3.07,55932
Anuradhapura,2024,Yala,61660,4863,241103,0,3.91,224321
Polonnaruwa,2024,Yala,66614,5716,336801,0,5.05,287105
Badulla,2024,Yala,12177,4992,51667,0,4.24,51003
Monaragala,2024,Yala,16420,4334,69742,0,4.25,65066
Ratnapura,2024,Yala,10331,4566,40096,0,3.88,37169
Kegalle,2024,Yala,4338,2884,11718,0,2.7,17782
